samples,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
zjxc41n-012,0,0,0,0,1.7445059,5.2091937,2.1356206,0,0,0.95603704,2.8741636,0.76802415,0,0,0.6953907,0,0,0,4.102451,0.61506706,0.71817887,1.231174,2.4561415,5.401929,0.5250837,0,0,0,0,0,1.385555,1.7342652,1.3307955,3.9411042,1.3155184,0,2.896677,1.0991437,5.8023095,0,6.104295,1.8721277,0,0.91441476,0,0,3.489458,1.1045408,1.8550686,0,0,0,0,0,7.716234,1.5192711,0,0,8.811969,2.0074325,1.7398287,0,0,5.492041,0,0,2.1534672,1.5592086,0,0,0,1.0227766,0,3.5774643,0,5.987311,0,0,0.98791,0,0,1.4224379,0,0.65937835,1.8599571,0,0,0,0,1.3439612,1.8945299,1.664154,0,4.079364,2.0900369,4.6301293,0,1.8418192,2.9350657,1.8770859,0.030711079,3.7976084,7.906066,0,0,7.506713,3.4281905,0,1.1730499,0
zjxc41n-013,0,0,0,0,3.9049006,6.424241,2.5897126,0,0,1.8703932,3.054969,0,0,0,0.47652668,0,0,0,2.7877998,0.14361197,1.0623204,0.9470068,4.1315694,7.413114,0.56027025,0,0,0,0,0,4.433393,1.6991096,0.5146829,2.953134,2.9207704,0,0.42669097,0.24050799,3.1367419,0,8.066758,1.4877934,0,0,0,0,4.77984,3.2488844,4.859585,0,0,0,0,0,7.318428,0,0,0,11.701777,2.9385326,2.1298962,0,0,5.4095874,0,1.3361204,1.0759473,3.9125688,0,0,0,0,0,2.160357,0,6.7613735,0,0,0.3775694,0,0,0,0,1.3013204,1.0285032,0,0,0,0,1.5893254,1.3579118,0,0,6.3366466,3.9058666,3.5657253,0,0.29429305,2.366243,3.1201906,0,4.328331,7.954377,0,0,6.803345,3.077909,0,1.4190156,2.8239741
zjxc41n-014,0,0,0,0,1.7787436,3.3806016,0,2.0897114,0,2.7884746,0,0,1.034289,0,1.5351233,0,0,0,6.522123,1.8945886,2.5959806,0,2.988219,1.2156414,0,0,0,0,0,0,0,2.8434772,0,2.5442111,2.7630332,0,0,7.527026,1.9571192,0,1.2012248,3.2230506,0,5.2101884,3.2962286,0,3.7465446,0,0,0,0.052190755,0,0,0,0.56943226,1.2017322,0,0,0,2.6576126,2.5030484,0,0,4.345035,4.5414176,1.098677,2.3594406,0,0,0,0,0,0,3.009213,0,5.3412395,0,0.79165214,1.8896157,0,0,0,0,0.41422746,1.586961,0,0,3.8398256,0,0,3.1507466,0,0,1.3181871,0,5.2181087,0,0,4.8952284,2.5237167,3.002079,0.98752874,0,0,0,2.8824384,2.1805809,0,0,0
zjxc41n-015,0,0,0,0,2.5712993,2.054077,0,0,0,0,1.0091932,0,1.8949852,0,1.3425477,0,0,1.175007,2.0568082,0,2.5375264,0,3.1641748,3.7797067,0,0,0,0,0,0,4.1736565,2.1259096,0,1.6115229,3.1778507,0.6901086,0,3.8577368,1.537882,0,3.778322,3.3048213,2.2101028,3.2417965,0.4992766,0,4.122162,1.6398808,3.0093954,0,0,0,0,0,2.1975408,0,0,0,4.706088,2.7602887,2.4571152,0,0,1.2458755,1.4633515,1.1487292,2.6376493,0,0,0.3089056,0,0,0,1.7887938,0.4740181,2.8482645,0.64850837,0.668004,1.4832985,0,0,0.026119642,0,0.93067265,3.5738847,0,0,1.3047059,0,2.154331,2.7315526,0.8525663,0,3.8098536,1.7242603,4.204478,0,0,4.6906233,0.8002752,0,2.954838,3.6706004,0,0,3.8567214,1.3962522,0,0,3.532139
zjxc41n-02,0.024094928,0,0,0,5.3138585,9.363136,4.754643,2.684692,0,0,0,0,2.114151,0,0,5.732071,0,0,3.7295675,0,3.0564938,0,3.7857563,0,0,0,0,0,2.2012396,0,0,0,0.12091787,0,1.6871483,0,0,3.331754,0,0,7.1942,4.1255918,1.7129536,2.394632,1.0768476,0,0,3.7784076,0,0,0,0,0,0,3.120185,0,0,0,4.331616,0,2.5983324,6.076356,2.959973,0.30552182,0,5.018849,0,0,0,0,0,0,0,0,4.1034846,7.7138214,4.2592497,0,0,0,0,0,0,1.8984926,1.7129358,0,0,0,0.93028885,0,0,0,0,0.35159346,0,5.6473703,0,1.5915456,0,4.536987,0,0,0,1.0120057,0,0,1.6928797,0,6.541184,3.827963
zjxc41n-021,0,0,0,0,6.0441265,0.24048483,2.5401769,0,0,1.6707726,0.8396646,0,3.459397,0,1.094264,0,0,0,3.5806227,0,0,2.294357,2.0857735,1.9786165,0,0,0,0,0,0,1.2427796,0,0,0.7092955,3.3165255,1.8159059,0,0,0.58825606,0,1.1521171,2.4995885,2.1407814,0,0,0,5.79966,3.7978597,0,0,0,0,0,0,1.7063797,0,0,0,5.0713377,3.0624304,1.9746556,0,0,4.977327,0,2.3974583,0,1.2503679,0,0,0,0,0,1.3091333,0.25349167,2.4452965,0,0,0.1355559,0,0,1.9332439,0,1.868953,2.709351,0,2.471676,0,0,0,1.521556,0.26133886,0,2.5171587,4.11398,3.6920278,0,0,2.6190577,0.09608736,0.5195421,4.4664707,0.4126349,0.123826146,0,8.054734,0,0,0.1633074,1.4529827
zjxc41n-022,0,0,0,0,1.2441531,6.4252496,0.76871485,0,2.5292466,0,4.533046,0,1.1782899,0,2.2862136,0,0,3.3480039,0,0,0,1.6485181,8.2072935,7.4121203,0,0,0,0,0,0,5.5108733,0.4779274,0.25829476,8.891939,3.0627463,1.5679969,1.7237202,0,8.467381,0,5.3668127,0,1.5193384,3.205445,4.910074,0,6.6282115,0,0,0,0,0,0,0,0.15364474,1.4828985,0,0,7.6701584,7.1372576,2.700854,0,2.3265855,3.6583686,0,6.8223743,1.3690506,0,0,2.48912,0,2.243723,0,0.7616229,0,0.93974656,0,0,3.92932,0,0,1.107956,0,4.3222313,1.837247,0,0,2.9773853,0,2.5311809,2.1926832,0.7727135,0,3.2179725,1.9125301,3.4128432,0,0,4.094927,2.9770508,0,7.2358747,3.0906577,0,0,7.4023805,3.1808667,0,0,3.6415577
zjxc41n-023,0,0,0.69736767,0,0.8021342,3.1910877,1.0338603,0,0,0,1.0028713,0,1.5756054,0,0.9990532,0,0,0,3.8819335,4.978429,0,1.761908,0,5.1322517,0,0,0,0,0,0,3.1561615,4.2792044,0,3.385737,1.8973888,0,1.9758428,1.5844834,2.3971932,0,6.363581,1.1358325,0,0,0,0,3.4477785,0,0.6322878,0,0,0,0,0,2.1491342,0,0,0,4.386937,0,1.8147241,0,0.0750069,6.342875,1.2823098,0,0,1.6665032,0,0,0,0,0.42577535,0,0,3.1536336,0,4.763636,3.1547685,0,0,0,0,3.2351565,0.6951372,0,0,0.84259665,0,0,5.1447735,3.2226226,0,1.0806723,0,1.4054534,0,0,3.5644636,1.0490208,2.3289952,3.612781,11.019458,0.14659986,0,6.300145,2.3064387,0,1.5469096,1.6426628
zjxc41n-024,0,0,0,0,3.9568903,2.865097,2.5433593,0,0,1.530552,1.524029,0,0.5400232,0,1.0202702,0,0,0,2.0932863,1.2287186,1.8442796,2.5523665,2.6857886,5.8358974,0,0,0,0,0,0,1.7678548,0,0,1.2408382,0,0,0.24157399,0,2.1864307,0,1.830211,1.1423645,0.5765669,0,2.341069,0,4.350015,3.9486594,0.943289,0,0,0,0,0,1.7427183,0,0,0,9.102637,0.7102764,2.0301557,0,0,3.650835,0,1.0662229,0.27180994,1.1777081,0,0,0,0,0,2.2489083,0,6.000226,0.30096847,0.5583518,0.84116375,0,0,1.0744582,0,1.3792802,1.5277596,0,1.7072189,0,0,0,1.0676564,1.8104993,0,1.8210506,3.2589102,2.3470821,0,0.41708934,2.2162592,0,0,3.254072,5.190064,1.6489049,0,5.856859,0,0,1.422402,2.0013273
zjxc41n-025,0,0,0,0,1.8355917,1.1628178,1.4469494,0,0.6593971,1.2726762,0,0,0.045353014,0.23842394,2.1924849,0,0,0,4.752463,2.6740303,2.5216537,0,3.117562,3.7876546,0,0,0,0,0,0,0,5.4343305,0,0.6039417,0,0,1.7031986,1.4479728,3.0618346,0,5.110299,2.6599967,0.08277767,3.882587,2.4679377,0,1.9829158,0.46030906,1.7471161,0,1.8773925,0,0,0.08522424,2.277828,0,0,0,6.8738647,2.200621,2.6236959,0,0,0.8087104,0,0,1.7421848,2.36839,0,1.4745194,0,0.69683915,0,1.2268796,0.06769222,4.802066,0,0,2.330248,0,0,0,0,1.2642591,3.490535,0,0,0,0,0.2973501,0.46483546,0,0,0,2.382881,2.6868944,0,0,3.6172776,3.6484184,0,3.8468492,5.1924744,0,0,4.6756268,1.6390939,0,0,1.8510982
zjxc41n-03,0.1847366,0,0,0,7.9540806,6.7704086,4.5326085,3.868222,0,0,0,0,0.2956959,0,0,7.710152,0,0,2.5895,0,2.150381,2.180514,4.5184975,0,0,0,0,0,1.2415856,0,0,0,0,0,1.1570431,0,0,3.1949239,0,0,6.5915265,2.3454614,4.9374456,1.5779616,0,0,0.9143599,3.7750778,4.018568,0,0,0,0,0,0.5375114,0,0,0,4.372914,0,0.24299338,7.108715,6.387469,0,0,5.960973,0,0,0,0,0,0,0,0,5.5167265,5.896493,3.5875092,0,0,0,0,0,0,1.9811851,1.971152,0,0,0,2.35925,0,0,0,0,0.483893,0,5.6151567,0,2.0889566,0,3.3258803,1.9106412,0,0,0,0,0,2.6871014,0,4.598997,1.1332996
zjxc41n-1,0,0,0,0,1.3162739,0.85740864,1.0104655,0,0,0,1.5771893,0,0.99161565,0,1.5929638,0,0,1.2832024,2.2799115,0,2.0457315,0.26138172,2.9161031,2.3932679,0,0,0,0,0,0,1.1855093,3.4559245,0,1.9720688,2.421149,0.20412698,0.5514265,0,3.1985865,0,1.0966944,1.5696151,1.6223625,1.098303,2.395684,0,2.417511,2.1847515,1.0958804,0,0.28211504,0,0,0,0,0,0,0,0.97380006,1.6753348,0,0,0,0.9135619,3.068139,2.0055187,1.3674366,0,0,0.89232945,0,0,0,2.3329732,0,1.8205531,0.006674506,0,2.2095103,0,0,2.217,0,2.744693,0.5630149,0,0.034630172,0.8906796,0,1.6681986,0,0.057174265,0,1.8671992,1.5299945,1.7576745,0,0,2.7899306,2.2065897,0,1.7223259,1.6058068,1.1155478,0,3.9717495,0.68953425,0,0,2.6400895
