samples,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
hsm6xrqe,0,1.3244559,0,0,0,0,0,0,0.7186528,0,0.22394417,0.094987616,0.30308625,0.0395812,0,0,0.4572798,0.53894573,0,0,0,0,0,0,1.599838,0.3384652,1.0387926,0,0,0.5728667,1.8632606,0.9211807,0.3116768,0.37632453,0,2.0237296,0,0.4386413,0,0,0,0.7329679,0.9579439,0.9136014,1.0049493,0,0,0.33607107,1.3869704,0,0,0.3805626,0,0.53686225,0.8363804,2.321946,0,0,0.14312625,0.6662724,0,0.23991211,0.4953998,0,0.596224,0,0.25458527,0.9658533,0.73359895,0,0,0,1.1022797,0,0.7577657,0,0,0,0,0.29445857,0.44352323,0.28379178,0,0,0,0.21627103,0,0.20456147,0.5007735,0.14251828,0.51895595,0,0,0.07935009,0,0.39465797,0.8876898,0.90839463,0,0,0.6362319,0,0.9795456,0.6039952,0,0,0.6206451,0.7026126,2.0999825,0
csm5mcz7,0.06881997,0.05339088,0,0,0,0,0,0,0.86090386,0,0,0,0,0,0,0,0,0,0.2680111,0,0,0,0,0,0,0.39242774,0.4421001,0,0,0,0,0,0.4951423,0.22871998,0,0.39233556,0,0,0.42799783,0.035809256,0,0.99113995,0,0.58286107,0.21600388,0,0,0,0,0.1380555,0,0.007399079,0.006744765,0.23405272,0.1484122,0,0,0.156163,0.20030753,0,0,0.23406976,0.13067833,0,0.37528712,0,0,0.17878088,0.17474014,0,0.6442847,0.1491662,1.0863389,0.02402411,0,0.25555378,0.023896452,0.42537475,0,0,0.09759069,0,0,0.06995471,0.84026843,0,0,0.5949112,0,0.70542616,0.2219969,0,0.10239773,0,0.32947236,0.6180951,0.918443,0,0.16113749,0.009014946,0,0,0.5822706,0.10309042,0.021260584,0.7672535,0,0.070071645,0,0
hsm7j4lp,0,1.2008489,0.81065434,0.6511269,0,0,3.3391595,0,0,0,0,0,0.7588622,1.3422054,0.32658407,0,0,0,0,0,0,0,0,0.7761227,0,1.9378049,0.8349169,0,0,0,1.2388597,0,0.6177522,1.8416028,0,1.4866991,0,1.5290328,0,0.29313678,0,1.2981418,1.0208377,0,0,3.6498926,0.17447574,1.3651633,3.27106,0.0552597,0,0.853069,0,0,0,0,0.07226694,0.74798274,0,0,0,1.8509686,0,0,0.91044575,0,0.40671098,0,0,0.123073265,0,0,0,0,0,0,0,1.9595808,0,0.031323038,2.0285966,0,0.3929114,0,0,0,1.1021104,0,0.50198275,0,0.42530304,1.0743663,1.6540703,0,0.67948365,1.6804925,2.0394807,0,0,0,0,0,0.263286,0,1.6131889,0.9500094,0.6527168,0.017790858,1.0882875,2.5030696
csm67ucu,0.12794584,0.4255463,0.19405347,0,0.05567894,0,0,0,0.26103303,0,0,0,0,0,0.21104154,0,0.48240983,0,0.18595243,0,0,0,0.1745758,0,0.08255033,0,0.4353069,0,0,0.5618131,0.23088746,0,0.14041352,0.048044663,0.11316911,0.59401745,0,0,0,0.25563017,0,0.23477554,0,0.19312377,0.18951133,0.06100599,0,0,0.43387547,0,0,0.022406377,0.26375297,0.62233675,0.11638006,0.47105685,0,0.17762198,0.17012526,0.84186584,0.5894024,0.43531063,0.15436676,0,0.18325087,0,0,0.13990352,0.7807945,0,0.1981252,0.21810593,0.53390026,0,0.3105132,0,0,0,0,0.024803253,0.17418155,0.31285927,0.42716643,0.37127447,0.3950663,0.5130931,0,0.053517908,0.044106025,0.0502673,0.07614228,0,0,0.44487298,0,0.34510577,0.29885453,0,0,0,0,0,0.44079092,0.5690194,0,0,0.120464936,0,0.31152898,0.05099327
msmb4lxw,0,0.34250933,0.6726976,0,0,0,0.21395068,0,0,0,0,1.1810647,0.11851513,0,0,0,0,0.73282254,0.2984896,0.010370931,0,0,0,0,0.003577203,0.386607,0.07868889,0,0,0,0,0.07425989,0.99187106,0,0,1.0910624,0.102757424,0,0,0.2342463,0.19002381,0.8438498,0,0.6374857,0.3160651,0,0,0,0,0,0,0,0.26266724,0.5194934,0,0.15496285,0,0,0,0.39494574,0.14053105,0,0.36264488,0.5443968,0,0,0,0,0.43946642,0.22450098,0.3785678,0,0.17955738,0,0.12556045,0,0,0,0.41409388,0,0.10144799,0,0,0,0.35483503,0.28547716,0,0.39766434,0,0.4754605,0,0,0,0.6320819,0,0,0.29790238,0.04988727,0.7022188,0,0.06954551,0,0.24282375,0,0,0.23012054,0,0.17366694,0,1.0249038
msm79h54,0,0.71562463,0,0,0,1.6129495,0,0,0.7213118,0,0,0,0,0,0.2652241,0,0,0,0.8342447,0.06118211,0,0,0.17364755,0,1.9200546,0,0.13759904,0,0.5573834,0.5226644,0,0,0.93149585,0,0,0.6263737,0.5829142,0,0.29263875,0,0,0,0,1.135117,0,0,0,0,0.44727537,0,0,0,1.4452975,0.36404425,0,0,0.55686814,1.7206811,1.9599979,0.08316492,0,0,0.5667246,0,1.0919755,0,0.55594975,0.21531814,2.079792,0.28934336,1.126754,0,1.1501312,0,1.6625439,0.32423955,0.5914538,0.22188559,0,0,0.80294055,0,2.1990309,0.46543908,0.09436849,1.2479868,0,0,0,0.3148949,0.37379196,0,0,1.0642432,1.0886475,0.3638272,0.08201988,0,0,0,0,0,0.7619714,0,0,0,0,0,0,0.005043618
esm718tm,0,0.46998978,1.2000339,0,0,0,0.24333724,0.019168876,0.73673373,0,0,0.8866037,0,0,0.96891576,0,0,0.4799393,0,0.5409483,0,0.013003964,0,0,0,0.18923444,0,0,0.74493176,0.3606619,0.25618523,1.2704422,0.9397641,0,0,0.6128244,0.15188108,0,0,0.67766863,0.2081981,0.039554566,0.12940864,0.39940533,0.31566042,0.110768236,0,0,0,0,0,0,0.64111876,1.0139813,0,0.44842866,0,0.1443815,0.1989779,0.18593639,0,0.37715903,0,0,0.23332047,0,0,0,1.1538355,0.6604763,0.5322103,0.13726744,0,0,0.13701463,0,0,0.15137583,0.23340435,0.015688587,0,0,0,0,0.5687308,0.6414058,0,0.5362596,0,0.49345022,0,0,0,0,0,0.49972832,0.36944056,0,1.1578962,0,1.3699268,0,0.7094957,0,0,0,0,0.370857,0,0.7068347
hsm7cz1a,0.016917493,0.46878827,0.47722083,0,0.25413883,0.005672202,0.36148313,0.00982389,0.4704581,0,0.40976834,0.2830224,0,0,0.63892835,0,0,0,0,0,0.046707552,0,0,0,0,0,0.06894432,0,1.0609926,0,0.382359,0.14022182,0,0,0.06783762,0.34236878,0.62927794,0,0.14043309,0.17129067,0,0.22005141,0,0.46690914,0,0.054095484,0,0,0,0.116576254,0,0,0.03229685,0.41710374,0,0.5699997,0,0.04820633,0,0.7960558,0.17898425,0,0,0,0.08569637,0,0,0.30367094,0.42012686,0.061794303,0.61829054,0.46461314,0.4556878,0,0.78762263,0,0.015135588,0,0.1795895,0,0.4235149,0.4600395,0.816694,0.10507688,0.40366742,0.6658,0,0.15205199,0.503111,0.09069352,0,0,0,0.16777378,0.15023372,0,0,0,0.00547234,0,0.38255298,0.12161893,0.72667474,0.13775183,0,0.1389828,0.016103238,0,0.075228214,0.29619107
psm7j14n,0.8260778,0,0,0,0.66337436,0,0,0,0,0,0,1.8025606,0.8758724,0.86426187,0,0.13870224,0,0,0,0,0,2.220316,0.15645358,0,0,0.018114578,0.5027683,1.1613675,0,0.53319,0.50316614,0,0.34844142,0,0.9986776,0.778314,0.07767783,0.38273624,0.7904721,0,0,0.016010538,1.3895379,0.540875,0.05496873,0,0,0.5387893,0,0,0.68689895,0,0,0,1.9340332,0.6651615,0.5294073,0,0,0,0,0.19606191,0.041130133,0,0,0,1.2446645,0.74421763,0,0,0,0,0.48104215,0.11213626,0.51668346,1.1105496,0,1.0933763,0.94839334,0,0.56916785,0,0,0.72731817,0,0.6852621,0.291136,0.45699516,0.7743192,0.94131726,0,0,0,0,0.11861715,0,0,0.52402693,0,0.27580658,0,1.0018382,0,0,1.0479207,0.7176572,0,0.45684534,0.60840255,0
msm79ha1,0,0.8826362,0.2697805,0,0,0.34272784,0,0,0.2300032,0,0,0,0,0,0.32674322,0,0,0.2806074,0,0,0,0.16337475,0,0,0,0,0,0,1.2504178,0.11015789,0.039025396,1.0882467,0.08746216,0,0.014478134,0.72250426,0,0,0.022080954,0,0,0,0,0.8057466,0,0.18250257,0,0,0,0,0.047789514,0.38332164,0.40550938,0.75049955,0,0.42567772,0.014651381,0.11863722,0.6414974,0.03295936,0,0.3870516,0,0,1.1996294,0,0,0.39202592,0.8016304,0,0.2245063,0.025479052,0.16229835,0,0.70405513,0,0,0.018172458,0.029382855,0,0.53241026,0.17453364,1.3769969,0.11371158,0.5933107,0.31292146,0,0.024777854,0.35491514,0.08298464,0.042442024,0,0,0,0.12563425,0,0,0,0,0,0.8982286,0,0.62206006,0.15889834,0,0.15990488,0.40105355,0.19009142,0.048742335,0.14419247
